run type	bottle	station	cast	niskin	depth	i.s. temp.	salinity	density	sample mass	temperature	rep#	area	CT	factor CT	unit	CV (µmol)	CV (%)	last CRM CT	cert. CRM CT	CRM batch	calc. mode	integ. mode	comment	Lat.	Long.	date	time	area#1	area#2	area#3	area#4
bottle	JUNKCRM206.1	1	1	1	1	4	33.423	1.0234	1790.95	20.59	4	30251	2022.8	0.119759	µmol/kg	0.714997	0.035346	2000	2038.99	172	reject worst	internal		1	1	2/27/23	5:50	30395	30242	30263	30249
bottle	CRM206.1	1	1	1	1	4	33.423	1.0234	1790.95	20.62	4	30265	2021.6	0.119626465	µmol/kg	1.072701	0.053004	2000	2038.99	172	reject worst	internal		1	1	2/27/23	6:04	30372	30280	30248	30266
bottle	MP_2305_B1_T0	1	1	1	1	4	0	0.99807	1746.6225	20.64	4	31315	2144.8	0.119626465	µmol/l	0.554206	0.025811	2000	2038.99	172	reject worst	internal		1	1	2/27/23	6:19	31415	31308	31324	31314
bottle	MP_2305_B2_T0	1	1	1	1	4	0	0.99806	1746.605	20.69	4	31314	2144.7	0.119626465	µmol/l	1.705918	0.079452	2000	2038.99	172	reject worst	internal		1	1	2/27/23	6:37	31424	31336	31319	31287
bottle	MP_2305_B3_T0	1	1	1	1	4	0	0.99807	1746.6225	20.67	4	31101	2130.1	0.119626465	µmol/l	0.812262	0.03809	2000	2038.99	172	reject worst	internal		1	1	2/27/23	6:55	31107	31059	31108	31087
bottle	MP_2305_B4_T0	1	1	1	1	4	0	0.99806	1746.605	20.7	4	30901	2116.4	0.119626465	µmol/l	0.118761	0.005605	2000	2038.99	172	reject worst	internal		1	1	2/27/23	7:12	30886	30902	30902	30899
bottle	MP_2305_B5_T0	1	1	1	1	4	0	0.99805	1746.5875	20.73	4	31422	2152.1	0.119626465	µmol/l	0.791738	0.036748	2000	2038.99	172	reject worst	internal		1	1	2/27/23	7:27	31312	31409	31429	31429
bottle	MP_2305_B6_T0	1	1	1	1	4	0	0.99805	1746.5875	20.74	4	31327	2145.6	0.119626465	µmol/l	0.700365	0.032605	2000	2038.99	172	reject worst	internal		1	1	2/27/23	7:42	30913	31320	31323	31339
bottle	MP_2305_B1_T1	1	1	1	1	4	0	0.99804	1746.57	20.78	4	28859	1976.6	0.119626465	µmol/l	3.085848	0.155945	2000	2038.99	172	reject worst	internal		1	1	2/27/23	7:58	28507	28904	28858	28814
bottle	MP_2305_B2_T1	1	1	1	1	4	0	0.99803	1746.5525	20.84	4	29311	2007.6	0.119626465	µmol/l	1.927645	0.095911	2000	2038.99	172	reject worst	internal		1	1	2/27/23	8:12	29230	29325	29279	29330
bottle	MP_2305_B3_T1	1	1	1	1	4	0	0.99802	1746.535	20.9	4	24961	1709.7	0.119626465	µmol/l	2.020191	0.118031	2000	2038.99	172	reject worst	internal		1	1	2/27/23	8:25	25124	24929	24987	24967
bottle	MP_2305_B4_T1	1	1	1	1	4	0	0.998	1746.5	20.96	4	23756	1627.2	0.119626465	µmol/l	1.853125	0.113761	2000	2038.99	172	reject worst	internal		1	1	2/27/23	8:39	23827	23782	23757	23728
bottle	MP_2305_B5_T1	1	1	1	1	4	0	0.99799	1746.4825	21.01	4	27334	1872.3	0.119626465	µmol/l	0.648119	0.034579	2000	2038.99	172	reject worst	internal		1	1	2/27/23	8:52	27337	27341	27173	27323
bottle	MP_2305_B6_T1	1	1	1	1	4	0	0.99798	1746.465	21.05	4	25226	1727.9	0.119626465	µmol/l	3.055407	0.176634	2000	2038.99	172	reject worst	internal		1	1	2/27/23	9:05	25277	25203	25333	25197
bottle	CRM206.2	1	1	1	1	4	33.423	1.02327	1790.7225	21.1	4	30211	2018.2	0.119626465	µmol/kg	0.435128	0.021536	2000	2038.99	172	reject worst	internal		1	1	2/27/23	9:19	30177	30205	30218	30211
