[HEADER]
Format	J&M ASCII Table
Comment	
Date	2/12/1980 5:27:42 AM
Order	Y (evenX)
TechType	UV
NumPoints	483
FirstX	250.00
LastX	732.00
XType	NMetr
YType	Count
[DATA]
250.000000	5998.944336
251.000000	5806.022461
252.000000	5627.520508
253.000000	5474.630859
254.000000	5356.548828
255.000000	5273.606445
256.000000	5224.556641
257.000000	5210.049805
258.000000	5231.125977
259.000000	5286.587891
260.000000	5374.004395
261.000000	5489.776367
262.000000	5629.450684
263.000000	5789.707031
264.000000	5968.508301
265.000000	6160.816895
266.000000	6356.395020
267.000000	6544.654785
268.000000	6715.401855
269.000000	6858.356445
270.000000	6962.650879
271.000000	7017.884766
272.000000	7017.484375
273.000000	6957.170898
274.000000	6841.035156
275.000000	6678.170410
276.000000	6480.174316
277.000000	6260.728027
278.000000	6032.624512
279.000000	5807.419922
280.000000	5594.298340
281.000000	5398.109863
282.000000	5223.765625
283.000000	5077.738770
284.000000	4965.250000
285.000000	4884.679199
286.000000	4832.826172
287.000000	4808.804199
288.000000	4812.658203
289.000000	4843.717773
290.000000	4900.868164
291.000000	4983.358887
292.000000	5090.781738
293.000000	5222.030762
294.000000	5375.002441
295.000000	5547.448730
296.000000	5736.970703
297.000000	5941.222656
298.000000	6158.085937
299.000000	6385.495117
300.000000	6621.429199
301.000000	6863.445801
302.000000	7105.701172
303.000000	7340.791016
304.000000	7561.939453
305.000000	7762.893066
306.000000	7939.239258
307.000000	8088.423340
308.000000	8205.811523
309.000000	8283.481445
310.000000	8316.218750
311.000000	8305.614258
312.000000	8254.505859
313.000000	8166.780273
314.000000	8046.250488
315.000000	7895.080078
316.000000	7715.688965
317.000000	7517.538086
318.000000	7313.189453
319.000000	7107.801758
320.000000	6901.012207
321.000000	6695.770020
322.000000	6498.836426
323.000000	6314.658203
324.000000	6143.553711
325.000000	5986.095215
326.000000	5844.419434
327.000000	5719.889160
328.000000	5610.050781
329.000000	5512.340820
330.000000	5428.830566
331.000000	5362.717285
332.000000	5311.919922
333.000000	5271.720703
334.000000	5241.551270
335.000000	5224.153320
336.000000	5220.048828
337.000000	5227.027832
338.000000	5243.929199
339.000000	5271.697266
340.000000	5310.346191
341.000000	5356.898926
342.000000	5409.464844
343.000000	5472.456543
344.000000	5550.202148
345.000000	5636.546387
346.000000	5722.223145
347.000000	5807.389160
348.000000	5897.377930
349.000000	5992.572266
350.000000	6089.142090
351.000000	6185.124512
352.000000	6281.047363
353.000000	6377.388672
354.000000	6474.245117
355.000000	6570.291504
356.000000	6660.395020
357.000000	6739.966309
358.000000	6809.459473
359.000000	6870.413574
360.000000	6922.724609
361.000000	6965.468262
362.000000	6996.079102
363.000000	7011.143066
364.000000	7009.891113
365.000000	6993.900879
366.000000	6964.623535
367.000000	6923.240234
368.000000	6870.458496
369.000000	6806.126465
370.000000	6732.243652
371.000000	6657.242187
372.000000	6588.641113
373.000000	6524.952148
374.000000	6462.942871
375.000000	6404.363770
376.000000	6352.597168
377.000000	6306.074707
378.000000	6260.273926
379.000000	6213.155273
380.000000	6165.010742
381.000000	6117.435059
382.000000	6073.631348
383.000000	6035.987305
384.000000	6005.081543
385.000000	5981.627441
386.000000	5967.341797
387.000000	5963.656738
388.000000	5969.894531
389.000000	5984.802246
390.000000	6007.245605
391.000000	6036.172363
392.000000	6070.874023
393.000000	6110.840820
394.000000	6155.197266
395.000000	6202.681641
396.000000	6250.263184
397.000000	6292.583496
398.000000	6328.412109
399.000000	6364.977051
400.000000	6408.155273
401.000000	6456.887207
402.000000	6509.702148
403.000000	6569.051758
404.000000	6637.872070
405.000000	6714.688477
406.000000	6796.499023
407.000000	6884.456543
408.000000	6982.251465
409.000000	7091.518066
410.000000	7211.939453
