run type	bottle	station	cast	niskin	depth	i.s. temp.	salinity	density	sample mass	temperature	rep#	area	CT	factor CT	unit	CV (µmol)	CV (%)	last CRM CT	cert. CRM CT	CRM batch	calc. mode	integ. mode	comment	Lat.	Long.	date	time	area#1	area#2	area#3	area#4	
bottle	JUNKCRM206.1	1	1	1	1	4.000	33.423	1.02346	1791.055000	20.390000	4	30298	2025.88	0.119759	µmol/kg	1.993660	0.098409	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	12:07	30453	30331	30290	30273
bottle	JUNKCRM206.2	1	1	1	1	4.000	33.423	1.02345	1791.037500	20.420000	4	30273	2024.23	0.119759	µmol/kg	0.606718	0.029973	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	12:20	30226	30277	30280	30263
bottle	CRM206.1	1	1	1	1	4.000	33.423	1.02345	1791.037500	20.430000	4	30276	2024.43	0.119759	µmol/kg	0.890420	0.043984	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	12:34	30308	30283	30285	30261
bottle	PD10_T0_A	1	1	1	1	4.000	0.000	0.99811	1746.692500	20.450000	4	32760	2246.13	0.119759	µmol/l	0.913041	0.040650	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	12:49	32939	32745	32771	32763
bottle	PD10_T0_B	1	1	1	1	4.000	0.000	0.99810	1746.675000	20.490000	4	32813	2249.78	0.119759	µmol/l	0.247210	0.010988	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	13:03	32697	32816	32814	32809
bottle	PD10_T0_C	1	1	1	1	4.000	0.000	0.99810	1746.675000	20.530000	4	32815	2249.94	0.119759	µmol/l	1.071009	0.047602	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	13:17	32833	32765	32805	32807
bottle	PD10_L_T1_A	1	1	1	1	4.000	0.000	0.99809	1746.657500	20.570000	4	33168	2274.16	0.119759	µmol/l	1.608460	0.070728	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	13:58	33333	33187	33142	33176
bottle	PD10_L_T1_B	1	1	1	1	4.000	0.000	0.99808	1746.640000	20.580000	4	33090	2268.82	0.119759	µmol/l	1.227155	0.054088	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	14:13	33156	33075	33110	33086
bottle	PD10_L_T1_C	1	1	1	1	4.000	0.000	0.99808	1746.640000	20.600000	4	33125	2271.23	0.119759	µmol/l	1.994709	0.087825	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	14:26	33155	33122	33860	33097
bottle	PD10_D_T1_A	1	1	1	1	4.000	0.000	0.99807	1746.622500	20.640000	4	32815	2249.99	0.119759	µmol/l	0.672964	0.029910	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	14:41	33561	32821	32804	32821
bottle	PD10_D_T1_B	1	1	1	1	4.000	0.000	0.99807	1746.622500	20.650000	4	32816	2250.06	0.119759	µmol/l	0.648068	0.028802	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	14:55	32618	32805	32823	32819
bottle	PD10_D_T1_C	1	1	1	1	4.000	0.000	0.99806	1746.605000	20.680000	4	32810	2249.67	0.119759	µmol/l	0.259586	0.011539	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	15:08	32761	32812	32806	32813
bottle	CRM206.2	1	1	1	1	4.000	33.423	1.02337	1790.897500	20.710000	4	30243	2022.37	0.119759	µmol/kg	1.630221	0.080609	2000.00	2038.99	172	reject worst	internal		1.00	1.00	02/24/23	15:22	30097	30271	30225	30234
