wvln_2,T0,T0_sd,Light,Light_sd,Dark,Dark_sd
250,18.29,0.21,10.49,0.70,17.92,0.17
251,18.26,0.22,10.51,0.70,17.95,0.16
252,18.25,0.22,10.52,0.71,17.99,0.16
253,18.25,0.22,10.52,0.71,18.06,0.16
254,18.25,0.22,10.50,0.72,18.13,0.16
255,18.28,0.21,10.47,0.72,18.22,0.15
256,18.33,0.21,10.43,0.72,18.32,0.15
257,18.40,0.22,10.39,0.72,18.44,0.14
258,18.48,0.22,10.34,0.72,18.57,0.15
259,18.55,0.22,10.28,0.73,18.71,0.16
260,18.61,0.22,10.17,0.74,18.83,0.16
261,18.67,0.22,10.04,0.74,18.92,0.15
262,18.76,0.22,9.92,0.75,19.04,0.15
263,18.87,0.22,9.81,0.75,19.18,0.15
264,18.94,0.22,9.69,0.76,19.30,0.15
265,18.99,0.22,9.54,0.76,19.38,0.14
266,19.04,0.22,9.38,0.76,19.45,0.14
267,19.07,0.22,9.22,0.76,19.50,0.15
268,19.08,0.22,9.06,0.76,19.54,0.15
269,19.06,0.22,8.88,0.76,19.53,0.15
270,19.03,0.22,8.69,0.75,19.50,0.15
271,18.99,0.22,8.52,0.74,19.46,0.15
272,18.94,0.22,8.35,0.73,19.41,0.15
273,18.86,0.22,8.18,0.73,19.33,0.15
274,18.76,0.21,7.99,0.72,19.22,0.15
275,18.65,0.21,7.82,0.71,19.08,0.15
276,18.53,0.20,7.64,0.70,18.93,0.15
277,18.40,0.21,7.47,0.68,18.78,0.15
278,18.25,0.21,7.29,0.67,18.61,0.14
279,18.09,0.21,7.11,0.66,18.42,0.14
280,17.91,0.21,6.93,0.64,18.21,0.14
281,17.74,0.20,6.75,0.63,18.00,0.14
282,17.57,0.19,6.57,0.61,17.80,0.13
283,17.41,0.19,6.41,0.60,17.61,0.13
284,17.23,0.19,6.24,0.58,17.41,0.13
285,17.05,0.19,6.08,0.57,17.19,0.13
286,16.86,0.18,5.91,0.56,16.97,0.13
287,16.67,0.18,5.74,0.55,16.75,0.12
288,16.49,0.18,5.58,0.54,16.54,0.13
289,16.32,0.18,5.44,0.53,16.34,0.13
290,16.15,0.19,5.31,0.52,16.15,0.13
291,15.98,0.18,5.18,0.51,15.97,0.12
292,15.80,0.18,5.06,0.50,15.78,0.12
293,15.62,0.18,4.94,0.49,15.57,0.12
294,15.44,0.17,4.82,0.49,15.38,0.11
