[HEADER]
Format	J&M ASCII Table
Comment	
Date	5/30/2023 8:00:46 AM
Order	Y (evenX)
TechType	UV
NumPoints	483
FirstX	250.00
LastX	732.00
XType	NMetr
YType	Count
[DATA]
250.000000	7280.731934
251.000000	7040.052246
252.000000	6819.376953
253.000000	6631.156738
254.000000	6485.767090
255.000000	6384.869629
256.000000	6327.841309
257.000000	6311.931152
258.000000	6334.345215
259.000000	6398.256348
260.000000	6509.124023
261.000000	6660.319336
262.000000	6836.162109
263.000000	7029.886230
264.000000	7245.089844
265.000000	7479.347656
266.000000	7719.062500
267.000000	7949.913086
268.000000	8158.489258
269.000000	8331.317383
270.000000	8454.108398
271.000000	8513.542969
272.000000	8503.626953
273.000000	8422.002930
274.000000	8274.609375
275.000000	8072.290527
276.000000	7827.427734
277.000000	7553.723145
278.000000	7266.674805
279.000000	6983.964844
280.000000	6718.691406
281.000000	6475.009766
282.000000	6256.823730
283.000000	6070.174316
284.000000	5920.468750
285.000000	5808.574707
286.000000	5733.802246
287.000000	5693.428223
288.000000	5684.077637
289.000000	5704.953125
290.000000	5756.871094
291.000000	5839.664062
292.000000	5952.171387
293.000000	6091.802734
294.000000	6254.025879
295.000000	6435.721191
296.000000	6637.022461
297.000000	6857.250000
298.000000	7091.839355
299.000000	7335.788574
300.000000	7585.767578
301.000000	7838.771484
302.000000	8090.295410
303.000000	8334.962891
304.000000	8565.268555
305.000000	8772.339844
306.000000	8950.443359
307.000000	9097.074219
308.000000	9206.899414
309.000000	9270.060547
310.000000	9281.100586
311.000000	9245.466797
312.000000	9168.791992
313.000000	9052.073242
314.000000	8896.293945
315.000000	8707.867187
316.000000	8494.996094
317.000000	8265.511719
318.000000	8026.859863
319.000000	7783.674805
320.000000	7538.567383
321.000000	7297.181152
322.000000	7068.543945
323.000000	6857.891113
324.000000	6663.942871
325.000000	6485.493164
326.000000	6323.007324
327.000000	6177.010742
328.000000	6047.305176
329.000000	5933.647461
330.000000	5836.531250
331.000000	5756.499023
332.000000	5692.024414
333.000000	5640.639648
334.000000	5602.994629
335.000000	5582.124512
336.000000	5576.519043
337.000000	5579.257812
338.000000	5588.016113
339.000000	5609.037598
340.000000	5646.043457
341.000000	5693.895508
342.000000	5747.771973
343.000000	5809.892090
344.000000	5883.304687
345.000000	5965.158203
346.000000	6050.740234
347.000000	6139.551758
348.000000	6233.361328
349.000000	6330.895508
350.000000	6428.363770
351.000000	6525.366699
352.000000	6625.787598
353.000000	6729.988281
354.000000	6831.384766
355.000000	6924.865723
356.000000	7011.420898
357.000000	7092.541504
358.000000	7167.429199
359.000000	7234.335937
360.000000	7289.246094
361.000000	7327.758789
362.000000	7351.133789
363.000000	7363.756348
364.000000	7364.576660
365.000000	7347.824707
366.000000	7312.654297
367.000000	7264.772949
368.000000	7207.652344
369.000000	7139.690430
370.000000	7061.325195
371.000000	6980.450195
372.000000	6904.883789
373.000000	6836.301270
374.000000	6774.348145
375.000000	6716.312988
376.000000	6658.927246
377.000000	6603.663574
378.000000	6554.619629
379.000000	6509.648437
380.000000	6461.051758
381.000000	6407.649414
382.000000	6357.149414
383.000000	6315.338379
384.000000	6283.066406
385.000000	6260.341309
386.000000	6246.376465
387.000000	6240.799805
388.000000	6245.744141
389.000000	6263.116211
390.000000	6288.328125
391.000000	6314.826660
392.000000	6345.134277
393.000000	6387.054199
394.000000	6439.226074
395.000000	6491.858398
396.000000	6539.070312
397.000000	6580.677246
398.000000	6619.007812
399.000000	6660.560059
400.000000	6709.391602
401.000000	6760.891602
402.000000	6811.129395
403.000000	6866.486328
404.000000	6934.991699
405.000000	7015.722656
406.000000	7104.192871
407.000000	7199.039062
408.000000	7300.928711
409.000000	7411.293457
410.000000	7532.228027
411.000000	7665.210937
412.000000	7810.845703
413.000000	7968.339844
414.000000	8134.270020
415.000000	8307.986328
416.000000	8497.932617
417.000000	8711.632812
418.000000	8944.952148
419.000000	9191.152344
420.000000	9448.253906
421.000000	9715.669922
422.000000	9985.646484
423.000000	10246.541992
424.000000	10499.161133
425.000000	10755.652344
426.000000	11023.399414
427.000000	11302.882812
428.000000	11591.803711
429.000000	11883.390625
430.000000	12170.851562
431.000000	12448.850586
432.000000	12711.986328
433.000000	12953.440430
434.000000	13168.416016
435.000000	13368.642578
436.000000	13571.980469
437.000000	13787.802734
438.000000	14019.700195
439.000000	14261.130859
440.000000	14496.694336
441.000000	14716.831055
442.000000	14919.959961
443.000000	15103.351562
444.000000	15261.096680
445.000000	15389.331055
446.000000	15490.953125
447.000000	15569.839844
448.000000	15628.997070
449.000000	15671.178711
450.000000	15698.992187
451.000000	15715.520508
452.000000	15729.462891
453.000000	15752.468750
454.000000	15789.005859
455.000000	15837.145508
456.000000	15890.256836
457.000000	15936.142578
458.000000	15968.192383
459.000000	15990.616211
460.000000	16007.566406
461.000000	16019.923828
462.000000	16027.773437
463.000000	16030.178711
464.000000	16025.515625
465.000000	16009.480469
466.000000	15977.529297
467.000000	15932.984375
468.000000	15883.883789
469.000000	15841.974609
470.000000	15821.728516
471.000000	15827.762695
472.000000	15852.869141
473.000000	15893.706055
474.000000	15954.819336
475.000000	16038.045898
476.000000	16136.287109
