wvln_2,G0_ag,H0_ag,I0_ag,J0_ag,K0_ag,L0_ag,G2_ag,H2_ag,I2_ag,J2_ag,K2_ag,G4_ag,H4_ag,I4_ag,J4_ag,K4_ag,L4_ag,G6_ag,H6_ag,I6_ag,J6_ag,K6_ag,L6_ag,G7_ag,H7_ag,I7_ag,J7_ag,K7_ag,L7_ag,G8_ag,H8_ag,I8_ag,J8_ag,K8_ag,L8_ag,G9_ag,H9_ag,I9_ag,J9_ag,K9_ag,L9_ag,G10_ag,H10_ag,I10_ag,J10_ag,K10_ag,L10_ag
250,1.059043687,1.072975856,1.570383155,1.583003018,1.737237548,1.725601724,1.085182662,1.093318333,1.59552894,1.604048642,1.740054743,1.095288902,1.107599039,1.568292829,1.580065475,1.714445449,1.716678331,1.071921114,1.088105374,1.533940318,1.542529674,1.653158658,1.694181707,1.057438818,1.068582703,1.520494982,1.520805379,1.676988748,1.67928062,1.119684177,1.068729282,1.484593118,1.489512757,1.654932751,1.650945828,0.998223393,0.991662263,1.407914559,1.387716136,1.528818773,1.531139796,0.980485983,0.96038306,1.399906307,1.379852281,1.519694325,1.54388236
251,1.033529546,1.046830921,1.556385286,1.568274184,1.727123562,1.715881126,1.059283171,1.067281223,1.582435179,1.590359575,1.729395635,1.069786983,1.081225194,1.553814221,1.565679556,1.704787377,1.706325278,1.046785345,1.062234122,1.52019628,1.528835451,1.643005816,1.684570809,1.032259576,1.04332161,1.506337532,1.506901243,1.667891163,1.669228648,1.095281441,1.043327763,1.470318946,1.475317255,1.644017193,1.640134239,0.976465705,0.97015724,1.397225084,1.376014479,1.521953939,1.524153248,0.9593843,0.938798507,1.389354207,1.369509501,1.513419983,1.537337853
252,1.008866273,1.0211561,1.542824795,1.552795618,1.717302301,1.705429425,1.034031089,1.041933094,1.567022331,1.575056749,1.71877666,1.045098615,1.05579942,1.539380917,1.55012391,1.695282596,1.697009304,1.02259377,1.037081741,1.505839443,1.514164701,1.632342,1.672341415,1.007779463,1.018704946,1.492599636,1.492770498,1.656795476,1.659617027,1.071761494,1.018396378,1.456120371,1.462204829,1.632822307,1.62879626,0.955875127,0.949688555,1.387552251,1.364112948,1.516380769,1.517585098,0.939041816,0.91785353,1.378399092,1.359743369,1.508051887,1.530796616
253,0.985353764,0.997019259,1.530667316,1.539591375,1.709845251,1.69681751,1.010192391,1.017751618,1.552986222,1.561639632,1.711194277,1.021762228,1.031837773,1.52682342,1.536679976,1.687590041,1.690254196,0.999470505,1.013303508,1.493197995,1.501457334,1.623427252,1.662832901,0.984555437,0.99553851,1.480511019,1.480035539,1.648038783,1.652246623,1.049556646,0.994945926,1.443584339,1.450208965,1.624459177,1.620116805,0.936333767,0.929951984,1.37836893,1.35323801,1.51169962,1.512346212,0.91946766,0.897946257,1.367821352,1.349872586,1.503028341,1.525020045
254,0.963193214,0.975104554,1.52069786,1.530910808,1.706493354,1.69222529,0.988264747,0.995099417,1.543422373,1.552877021,1.708837248,1.000117106,1.009618631,1.517563793,1.527889152,1.683236057,1.687274117,0.977504938,0.991334664,1.484054897,1.492948184,1.618079918,1.660318722,0.962991025,0.97436508,1.471107264,1.47006264,1.644982284,1.648626109,1.028955644,0.973690599,1.433869589,1.439495711,1.621312932,1.616408357,0.91770217,0.910735091,1.369396649,1.344392903,1.507732006,1.509211236,0.900674515,0.879334471,1.358461759,1.339696568,1.498079589,1.520826223
255,0.942277923,0.954437495,1.512785436,1.52504096,1.707101572,1.691381031,0.967626812,0.973872229,1.537554557,1.547405427,1.709948194,0.979742553,0.988538748,1.510907838,1.522280926,1.682675851,1.687805804,0.956765831,0.970704205,1.477307201,1.487138206,1.615645868,1.662907125,0.94286007,0.95460255,1.464345032,1.462676057,1.645622232,1.648638,1.009736838,0.954005282,1.426057029,1.430853765,1.622013339,1.615647605,0.899995626,0.89242489,1.361582944,1.337289503,1.50543186,1.508201003,0.882796545,0.861735872,1.351001024,1.331039366,1.494306743,1.518935237
256,0.92240844,0.93391191,1.506614377,1.519791967,1.711032561,1.69347973,0.94752377,0.953822169,1.533813249,1.543187451,1.712410443,0.96012078,0.967948809,1.505807859,1.517797827,1.685807709,1.69118644,0.937226736,0.950804472,1.471436825,1.48202005,1.615155594,1.667663617,0.92378263,0.935510228,1.459773261,1.457284554,1.647271421,1.651706666,0.991552089,0.93507173,1.418971391,1.424917868,1.624538839,1.615494515,0.883220859,0.875400199,1.355794542,1.331450473,1.50570549,1.509079973,0.865943211,0.844814808,1.345835741,1.325616538,1.492949597,1.519884816
257,0.903223856,0.9136744,1.501936268,1.515069802,1.717186443,1.697711339,0.927797103,0.93446878,1.530873111,1.539398397,1.716809051,0.941102938,0.947975275,1.501793602,1.513937758,1.690757135,1.69632905,0.918362659,0.931345485,1.466085368,1.47723106,1.616851425,1.673274244,0.905278513,0.916814134,1.455987017,1.452859056,1.649878273,1.656677005,0.973975722,0.916579392,1.412500205,1.420741253,1.627763661,1.616997413,0.867145478,0.859281777,1.350992638,1.326872286,1.507854923,1.511103058,0.849923924,0.828577805,1.341985395,1.322150361,1.494373247,1.523328697
258,0.88434246,0.894216768,1.498463743,1.511404348,1.724369041,1.703335491,0.908488136,0.91529293,1.52764662,1.535723559,1.72436562,0.922646893,0.928930442,1.498580857,1.510726113,1.695390482,1.702150513,0.899558184,0.912160281,1.461289088,1.4729508,1.62119133,1.679102649,0.886887206,0.898406806,1.451492239,1.448373362,1.654223302,1.662367392,0.956595029,0.898406467,1.406863381,1.416942188,1.631003026,1.621997538,0.851470533,0.843480091,1.345726318,1.323634447,1.510787401,1.513510709,0.834445777,0.813090304,1.338164017,1.318559012,1.498558989,1.528626951
259,0.865640375,0.875314024,1.495351809,1.508557822,1.73190108,1.710219598,0.889607199,0.896112534,1.524376064,1.532668124,1.733808031,0.90451255,0.910394704,1.495778947,1.508166728,1.700545825,1.708814287,0.880865497,0.89321535,1.457065079,1.469180059,1.626907989,1.685625205,0.868622832,0.880248468,1.446846644,1.44413043,1.6605632,1.669064775,0.939349614,0.880549416,1.402033108,1.413032238,1.634763234,1.629179657,0.836015982,0.827814984,1.34059573,1.321111518,1.514721626,1.516937889,0.819199286,0.797913278,1.334474984,1.314605915,1.504726367,1.535179842
