wvln_2,A0_ag,B0_ag,C0_ag,D0_ag,E0_ag,F0_ag,A2_ag,B2_ag,C2_ag,D2_ag,E2_ag,F2_ag,A4_ag,B4_ag,C4_ag,D4_ag,E4_ag,F4_ag,A5_ag,B5_ag,C5_ag,D5_ag,E5_ag,F5_ag,A6_ag,B6_ag,C6_ag,D6_ag,E6_ag,F6_ag,A7_ag,C7_ag,D7_ag,E7_ag,F7_ag,A8_ag,B8_ag,C8_ag,E8_ag,A9_ag,B9_ag,C9_ag,D9_ag,E9_ag,F9_ag
250,0.884784307,0.882827253,1.421303415,1.353338251,1.545728925,1.5605446,0.902727351,0.89065457,1.384597363,1.394667006,1.570939248,1.570000853,0.883122298,0.885945055,1.370887677,1.385512441,1.562704432,1.568577593,0.88504353,0.884619465,1.365455863,1.366374721,1.551554487,1.561227827,0.925702768,0.945720688,1.375834972,1.360839707,1.551833755,1.557365007,0.881975362,1.358475204,1.355299348,1.528604421,1.51621474,0.907738916,0.929471872,1.310359888,1.489385748,0.869109902,0.868426668,1.313614713,1.316275747,1.477829135,1.477425541
251,0.864421273,0.862295994,1.410904779,1.342158008,1.538339632,1.553338942,0.88242756,0.87059319,1.373653329,1.38425728,1.56433258,1.562874439,0.862960646,0.865735592,1.360094605,1.374895237,1.554969507,1.560883245,0.8650156,0.864454827,1.354400737,1.355247231,1.544689958,1.554102474,0.905286751,0.925153904,1.365032303,1.349520865,1.544596353,1.549706255,0.861664791,1.347032066,1.343651958,1.519593794,1.508380691,0.887729067,0.910381809,1.300039216,1.482527033,0.849056074,0.848546573,1.302292434,1.30510392,1.470544694,1.470596169
252,0.845297865,0.842944099,1.399233084,1.3308395,1.531465717,1.547009877,0.863281988,0.851492935,1.362569099,1.373661854,1.55846556,1.5556587,0.844432049,0.846637814,1.350171975,1.364602892,1.547514108,1.555015367,0.845722989,0.845148086,1.344062489,1.345483937,1.538528454,1.546678401,0.886012352,0.90522891,1.355207969,1.339397117,1.536529658,1.542655131,0.842555209,1.336730725,1.332143614,1.510648193,1.501247677,0.868679073,0.892384225,1.290276671,1.476285316,0.829956401,0.830265784,1.292018083,1.294410017,1.463060386,1.463585841
253,0.827675671,0.825193906,1.389638108,1.321923964,1.527043315,1.543137689,0.845358575,0.833984115,1.353470797,1.364921411,1.555233349,1.551138671,0.827160205,0.829054757,1.341938472,1.356011273,1.543054946,1.55228994,0.827749613,0.827304082,1.335372815,1.337533885,1.534470756,1.542273931,0.868136911,0.886893422,1.347223554,1.331082021,1.531322205,1.538377796,0.824822762,1.328281741,1.323133342,1.505782353,1.497093863,0.850887319,0.874913265,1.281333048,1.471011982,0.812082347,0.813029964,1.282830978,1.284576071,1.456707146,1.457709914
254,0.811612716,0.809194448,1.384509365,1.316988253,1.526258795,1.542769371,0.828631524,0.818355819,1.34779818,1.359460282,1.555858805,1.551291877,0.810758837,0.813126877,1.335890675,1.350144031,1.543354303,1.553295947,0.811464972,0.811237925,1.328971581,1.331566857,1.533486231,1.543149673,0.851735079,0.870707423,1.341525106,1.324903477,1.531596573,1.538353247,0.808490673,1.322094543,1.318091727,1.507436876,1.497358335,0.834512779,0.857668175,1.273473134,1.467206921,0.795615359,0.796397776,1.27476516,1.276033608,1.452663731,1.454083049
255,0.796554783,0.79416032,1.381411404,1.31325641,1.527030028,1.544637523,0.812905023,0.803622795,1.34376408,1.355749959,1.558615552,1.554213235,0.795216553,0.798098393,1.331233665,1.346330159,1.545863495,1.555888343,0.796401326,0.796171297,1.324246521,1.326825776,1.534629661,1.546574155,0.836346808,0.855628533,1.336950378,1.320154028,1.534735011,1.540946987,0.793184014,1.317450851,1.314518904,1.511057212,1.499802556,0.81927106,0.841662206,1.266972354,1.465853244,0.780485956,0.780796252,1.268000517,1.269327321,1.451050553,1.452603237
256,0.78191359,0.77927368,1.377497942,1.307776918,1.527174194,1.547176813,0.797969786,0.788775692,1.339341583,1.352010194,1.561513972,1.557534472,0.780568704,0.783198673,1.327045324,1.343559668,1.547727789,1.557934747,0.781972246,0.781277841,1.320375581,1.322536178,1.536753446,1.549421047,0.821484023,0.840531593,1.332310133,1.315990627,1.537585043,1.544170066,0.778496194,1.313535328,1.309722657,1.511845586,1.501897809,0.804817737,0.827810989,1.262002597,1.467654305,0.766511396,0.766654728,1.26265681,1.26479755,1.451657949,1.452884839
257,0.76764228,0.764655548,1.373411112,1.30179948,1.527836741,1.549955466,0.78374703,0.77418787,1.335022438,1.348572093,1.564618873,1.560963844,0.766666328,0.768630199,1.323249942,1.340984648,1.549537367,1.560602669,0.767954328,0.766775004,1.316892236,1.318934674,1.539898466,1.552340386,0.807166749,0.825749486,1.328177884,1.312069663,1.540304166,1.54782248,0.764338177,1.310362129,1.30468561,1.511992064,1.503892952,0.791008966,0.814949856,1.258162555,1.471213445,0.753194338,0.753388852,1.258355871,1.261539981,1.45373859,1.45444123
258,0.753875583,0.750703196,1.370815419,1.29777834,1.53111624,1.553121507,0.770205801,0.760618448,1.332066293,1.346412277,1.568790042,1.565085559,0.753316149,0.754887454,1.320118967,1.338025807,1.553053668,1.566011455,0.754280536,0.753178187,1.313584723,1.316575147,1.544542207,1.557143733,0.793571886,0.812019502,1.325649083,1.308319683,1.544238643,1.552457796,0.75073863,1.308210133,1.301460653,1.515664819,1.50703013,0.777763798,0.801443976,1.254929212,1.474712363,0.739994484,0.740172937,1.254598193,1.258351105,1.456512038,1.45682425
259,0.74072985,0.737458679,1.36998562,1.296211439,1.537579068,1.558549883,0.757349125,0.748078687,1.330970896,1.345860884,1.575726389,1.571995113,0.740471896,0.742103161,1.318459786,1.335972964,1.560062025,1.574804186,0.741173875,0.740521274,1.311439305,1.315813986,1.551484423,1.564612063,0.78078525,0.799282342,1.32513922,1.305601847,1.551317567,1.559936193,0.737840599,1.307238474,1.300570971,1.5236141,1.512999518,0.764974218,0.787744828,1.252411711,1.478871415,0.726929007,0.727060581,1.251293562,1.255115596,1.460505919,1.460225697
260,0.728284004,0.724770266,1.370443381,1.296517447,1.546898739,1.568722055,0.745166065,0.736183629,1.331750174,1.346836525,1.587303089,1.584235514,0.728142984,0.730188528,1.3191999,1.336859144,1.572085963,1.58673815,0.728956502,0.728565787,1.311879773,1.316799453,1.561554403,1.57489059,0.768805653,0.787067518,1.326613878,1.305106365,1.563460088,1.572480829,0.725801096,1.307486469,1.301655468,1.534721059,1.523472487,0.752521391,0.775291844,1.251016221,1.485601667,0.714289566,0.714540098,1.248576501,1.252284715,1.46684903,1.465160154
261,0.716198793,0.712385719,1.371281421,1.297149566,1.557317094,1.581819874,0.733218886,0.724387065,1.333124765,1.348156477,1.601550238,1.59941367,0.716074576,0.718552043,1.320933248,1.339372888,1.586550589,1.599794806,0.717211475,0.716750124,1.313608661,1.318137849,1.573536825,1.58660325,0.757113369,0.77493492,1.32856117,1.305772132,1.577941496,1.587625756,0.714154993,1.308176268,1.30305656,1.546457311,1.536402249,0.740366463,0.764132535,1.250648874,1.494884015,0.702153173,0.702716272,1.246740344,1.250376074,1.475495981,1.471997847
262,0.703827466,0.699978705,1.371290944,1.295877648,1.566046766,1.592821752,0.720756756,0.712041029,1.332879612,1.347841585,1.613644329,1.611471887,0.703814949,0.706239925,1.320535062,1.339715163,1.597870932,1.610681167,0.704972506,0.704290354,1.313308853,1.317319396,1.584689366,1.597265931,0.744809492,0.76248164,1.328400679,1.304865366,1.588627243,1.599447624,0.701979897,1.307930644,1.302192765,1.555332044,1.546986947,0.728525797,0.753245565,1.250811312,1.505200664,0.690423287,0.691390001,1.246150257,1.249900195,1.485460842,1.480935321
263,0.690994929,0.687364539,1.370049238,1.29222035,1.572456665,1.600414153,0.707647482,0.699080211,1.330535701,1.345488123,1.622280354,1.618989107,0.69120127,0.693106289,1.317375307,1.337122015,1.605063375,1.618826618,0.692061999,0.691174836,1.310198076,1.314106727,1.593890055,1.606343902,0.731727517,0.749657142,1.325660322,1.301783919,1.594645883,1.60710273,0.689093617,1.306369393,1.298762112,1.56125988,1.553942523,0.716747308,0.741901137,1.250459593,1.514943318,0.678794152,0.680121315,1.245683387,1.249726276,1.494825845,1.490334545
264,0.678068827,0.674520772,1.368029706,1.287695728,1.57838736,1.607581392,0.694468958,0.686102677,1.32761197,1.342499836,1.630230258,1.625913872,0.678406184,0.679931659,1.313704595,1.334342549,1.612445996,1.626785708,0.679209173,0.678276376,1.306430594,1.310865086,1.601904346,1.615539494,0.718545279,0.73681272,1.322290938,1.298393719,1.601192462,1.615599106,0.676167088,1.304260813,1.295073523,1.568034737,1.560061423,0.704475962,0.72973932,1.247950845,1.522457537,0.666731618,0.668211162,1.242542682,1.246877047,1.500669451,1.496500105
265,0.665126915,0.661358372,1.364981442,1.282805697,1.58415654,1.615249884,0.681461999,0.673307925,1.324392919,1.339203049,1.638404542,1.634026166,0.665454057,0.667023034,1.310289266,1.332144657,1.621334249,1.63527332,0.666619096,0.665834275,1.302706261,1.30821257,1.608697715,1.624860204,0.705541251,0.724027111,1.318950585,1.295188815,1.610067534,1.626334549,0.66343751,1.301461959,1.291817012,1.576418737,1.566277365,0.691524564,0.71683724,1.242786999,1.527296604,0.654038098,0.65545984,1.235889112,1.240381788,1.502454838,1.498273631
266,0.651698433,0.647654203,1.359341589,1.276139279,1.587274023,1.620456765,0.668229826,0.660154086,1.31889385,1.33393435,1.644183403,1.640935026,0.65208706,0.653800833,1.305112765,1.327616358,1.627470949,1.641598842,0.653524158,0.652936625,1.296991788,1.303569275,1.612711047,1.63123904,0.692245688,0.710887193,1.313886491,1.290116797,1.616761761,1.634052554,0.650328172,1.29618509,1.286702831,1.58168162,1.570004327,0.678356972,0.70397892,1.236465075,1.53105877,0.641105308,0.642535726,1.22835741,1.232839988,1.503776099,1.498981994
267,0.637472376,0.633317613,1.350246828,1.266648074,1.586021453,1.620999308,0.654422379,0.646233234,1.309842584,1.325536433,1.645542345,1.644338158,0.638130627,0.639831913,1.296679189,1.318839093,1.627961477,1.643725777,0.639418719,0.638948063,1.287903303,1.295137308,1.612933406,1.632616751,0.67829111,0.697048976,1.305850334,1.28169749,1.617985975,1.635202806,0.636451845,1.287344422,1.278105845,1.580832801,1.569482341,0.665201012,0.691542574,1.229817788,1.534528132,0.628157928,0.629839531,1.221508823,1.225850295,1.506585363,1.500491795
268,0.622673483,0.618626927,1.338946663,1.254682327,1.58135074,1.61757311,0.639967479,0.631652546,1.298356193,1.314647056,1.642856045,1.643194048,0.623685876,0.625273841,1.285509918,1.307341965,1.624779685,1.642130864,0.624702709,0.624224221,1.276394323,1.283914108,1.610134248,1.630276593,0.663756467,0.68247147,1.295485109,1.270543522,1.615138269,1.632253313,0.622105496,1.276051001,1.266837432,1.57669145,1.565935978,0.651522265,0.678696741,1.221486011,1.535899908,0.614845602,0.616871953,1.213294727,1.217567792,1.507612561,1.499823195
269,0.607589335,0.603844714,1.326689468,1.240875642,1.574513689,1.611405928,0.624911466,0.616635774,1.285662751,1.302086212,1.637170241,1.637392441,0.60890019,0.610365601,1.27242461,1.294808866,1.620145434,1.637772144,0.609820599,0.60922159,1.263600046,1.271146285,1.60530608,1.625781527,0.648794525,0.667245876,1.283589175,1.257535614,1.610153404,1.628023122,0.607604319,1.263540806,1.253979359,1.572145,1.560842763,0.636849248,0.664682719,1.210168312,1.533341374,0.600841731,0.603150253,1.201724423,1.206133567,1.503713917,1.494228695
270,0.592401648,0.588926077,1.313378638,1.226104848,1.566268571,1.604005097,0.609585686,0.601536192,1.271925188,1.288276207,1.630689243,1.629732288,0.593916043,0.595291091,1.258159516,1.281376405,1.614198735,1.631935226,0.594823044,0.594166353,1.249905776,1.257320845,1.599204644,1.619712151,0.633562824,0.651789785,1.270390986,1.243301118,1.604144732,1.622954851,0.592899142,1.250154993,1.240158131,1.566707215,1.554820093,0.621436234,0.649784989,1.196157704,1.526529586,0.586269726,0.588824121,1.187293921,1.191794096,1.495525217,1.484920347
271,0.577208114,0.573746743,1.298535589,1.211010409,1.556963129,1.596388259,0.594298575,0.586623905,1.2569476,1.273374225,1.625081622,1.622844651,0.578822057,0.580160443,1.243201125,1.266704256,1.606428528,1.625500064,0.579646181,0.579158049,1.235333114,1.242556586,1.592136635,1.612144543,0.618171753,0.636485003,1.255859063,1.228193251,1.59758066,1.616616931,0.577860958,1.235838092,1.225649564,1.559040166,1.547895301,0.605673561,0.63449506,1.180114094,1.515693285,0.571331686,0.574156742,1.171015947,1.17529925,1.484490867,1.473805262
272,0.561728284,0.558139678,1.281352964,1.194388257,1.545130958,1.586063519,0.578755939,0.571439033,1.239926903,1.256498056,1.616878526,1.613816693,0.563370563,0.564704108,1.226602226,1.249874296,1.595459318,1.616295976,0.56411378,0.563836867,1.218776985,1.225853213,1.581956414,1.601516356,0.602407794,0.620961418,1.239206189,1.211240602,1.588147442,1.606790978,0.562410375,1.219431338,1.209237007,1.547709268,1.537745891,0.589671832,0.61897724,1.162498303,1.502160512,0.556021347,0.559157104,1.15328278,1.157278464,1.47124895,1.4609957
273,0.545587253,0.541957562,1.261049125,1.174539793,1.528876775,1.569670492,0.562496187,0.555332458,1.219967716,1.236526341,1.601264818,1.598195876,0.547237318,0.548560341,1.207031967,1.229907623,1.579837191,1.601376358,0.548037305,0.547736833,1.198898577,1.205961236,1.565980588,1.585915563,0.585979366,0.604626695,1.21950256,1.191156057,1.572862031,1.590974121,0.546499001,1.199563259,1.189353114,1.531476073,1.521565762,0.573425344,0.603257095,1.143658409,1.487509077,0.540266421,0.543747726,1.134240195,1.138251304,1.456077801,1.445944111
274,0.528902841,0.525388511,1.238329172,1.151951867,1.508981904,1.548676286,0.545659686,0.538544405,1.197564942,1.213923691,1.579769226,1.577500615,0.530597224,0.531875842,1.184822622,1.207444077,1.560630541,1.581787329,0.531527593,0.531075023,1.17633462,1.183448543,1.545599284,1.566257237,0.56905198,0.587555563,1.197306519,1.168616636,1.552782638,1.570729139,0.530202549,1.176993182,1.166698513,1.511504059,1.500793357,0.556857681,0.587249496,1.123560002,1.471563166,0.524139826,0.527988535,1.113979768,1.1180804,1.438746966,1.428395981
275,0.512068357,0.508801861,1.214709438,1.12832808,1.487702702,1.527190099,0.528726765,0.521805997,1.173989847,1.190045434,1.557434108,1.55651614,0.513904093,0.515085314,1.161248541,1.184010333,1.540276302,1.560781151,0.514865433,0.514444831,1.152814505,1.159890802,1.524426304,1.545028684,0.552038927,0.570203373,1.173998163,1.145378403,1.5312094,1.549831703,0.513668515,1.153651589,1.143222358,1.49027184,1.479193215,0.539862281,0.570813184,1.101961261,1.453176094,0.507795517,0.512014698,1.092544902,1.096271729,1.418779361,1.408290104
276,0.495248446,0.492297791,1.190632939,1.104339683,1.46576111,1.506244138,0.511872191,0.505274962,1.149897452,1.165584412,1.536000324,1.536232073,0.497326957,0.498389434,1.137035582,1.160152742,1.519394243,1.539482165,0.498216595,0.497992873,1.128976479,1.135899152,1.503386818,1.523384151,0.535052401,0.55286509,1.150123284,1.122026503,1.509494836,1.529287789,0.497036568,1.130186963,1.119602134,1.468833627,1.457953892,0.522529495,0.553988029,1.078912359,1.43211888,0.491313039,0.495897452,1.069730391,1.072771866,1.396606331,1.385978475
277,0.478405851,0.475743584,1.165617554,1.079757105,1.442556352,1.484216718,0.495003376,0.488617085,1.125394383,1.140649917,1.514331859,1.514370592,0.480785386,0.481782165,1.112421065,1.135563286,1.497041241,1.51716523,0.481641836,0.481482627,1.104512831,1.111245351,1.481091557,1.50130461,0.51794308,0.535689562,1.125502276,1.098131734,1.487289035,1.507715605,0.48043816,1.106136132,1.095413697,1.447000229,1.436033969,0.505116224,0.53696811,1.054716929,1.408963032,0.474707667,0.479649531,1.045133614,1.047910693,1.373424535,1.362164338
278,0.461477445,0.459046313,1.139421858,1.054405128,1.418065264,1.460536907,0.478005383,0.471682038,1.100271726,1.115127857,1.491520991,1.490174676,0.464148374,0.465124114,1.087318653,1.109988412,1.472907076,1.49344841,0.465037843,0.464785801,1.079277287,1.085762888,1.457049462,1.478466888,0.500624642,0.518568965,1.100037303,1.073319072,1.464204275,1.484535583,0.463858253,1.081171314,1.070376679,1.424301634,1.412889606,0.487677769,0.519827355,1.029628554,1.384279788,0.457909061,0.463228704,1.018958709,1.022039323,1.349622847,1.33734612
279,0.444378106,0.442181025,1.112156496,1.028218794,1.393053162,1.436078627,0.460747428,0.454579016,1.073949339,1.088649648,1.467079347,1.464961034,0.447235986,0.448118755,1.061261976,1.083286762,1.447559178,1.46847234,0.448100164,0.447935144,1.053376994,1.059402694,1.432017622,1.454221894,0.483108409,0.50108671,1.073772703,1.04733194,1.439890044,1.460299355,0.44710154,1.055192573,1.044451313,1.399982079,1.388712059,0.470007525,0.502478098,1.003828364,1.358607017,0.440747261,0.446527189,0.992187138,0.995521489,1.324542815,1.311753288
280,0.427166772,0.425217915,1.084132576,1.001343373,1.368102836,1.411460039,0.443283367,0.437439024,1.046422019,1.06121227,1.441186808,1.439749044,0.430042508,0.430767187,1.034177378,1.055663092,1.421709688,1.442787835,0.430790573,0.431020991,1.026931539,1.032330795,1.406746826,1.42865213,0.465483152,0.483143324,1.046876047,1.020294777,1.414518675,1.435591946,0.430136282,1.028359821,1.017782434,1.374131145,1.363771963,0.45212658,0.484982609,0.977537994,1.332711949,0.423308219,0.429643994,0.965550026,0.968789819,1.298231363,1.285679155
281,0.410172082,0.408408271,1.055997714,0.974308442,1.343353786,1.386639688,0.426021454,0.420405913,1.018817889,1.033536159,1.415236561,1.414747514,0.412902161,0.413651628,1.006786214,1.027965852,1.396244601,1.417659602,0.413603616,0.414231338,1.000057853,1.005103793,1.381832914,1.403272806,0.44797779,0.465290144,1.019741688,0.993040852,1.389252901,1.410931658,0.413267645,1.001305997,0.990839353,1.348479876,1.338405308,0.434516575,0.467699758,0.951066358,1.307796259,0.406175466,0.413076627,0.939202922,0.942406322,1.272199395,1.259568972
282,0.393637643,0.391979578,1.02818935,0.947472754,1.318803846,1.361581788,0.409272144,0.403642781,0.991942182,1.006146059,1.390248659,1.389988051,0.396137718,0.397216927,0.979674945,1.000790644,1.371638842,1.393711401,0.396962565,0.397747317,0.972935429,0.97813789,1.357488952,1.379026441,0.430808302,0.44798138,0.992692646,0.966206425,1.364805907,1.386600224,0.396771073,0.974452553,0.963980619,1.324142282,1.313009677,0.417536719,0.450941356,0.924736282,1.28441726,0.389761868,0.397178106,0.913183527,0.916650464,1.247552777,1.233904095
283,0.377469981,0.37603676,1.000426957,0.920580314,1.29418344,1.336478656,0.392955792,0.387362835,0.965308937,0.978777116,1.365773874,1.365252356,0.379930455,0.38131644,0.952788347,0.973803593,1.347133854,1.369489314,0.380919209,0.381695961,0.945920778,0.9513208,1.332884358,1.354756223,0.414114078,0.431194512,0.965776842,0.939643811,1.340286702,1.362223061,0.38073536,0.947469744,0.937139313,1.299935148,1.288138932,0.401045961,0.434777957,0.898887503,1.261141976,0.373830772,0.381752221,0.887363661,0.890951918,1.223763321,1.209213739
284,0.361583665,0.360640568,0.972465923,0.893455687,1.2693574,1.311567942,0.376972378,0.371735259,0.938415545,0.951194557,1.341299523,1.34044019,0.364383624,0.365757498,0.926031437,0.946675772,1.322101323,1.34378972,0.36544037,0.366170299,0.919339294,0.9245252,1.307410737,1.329448453,0.397978776,0.41483159,0.939019161,0.913146678,1.314942873,1.337510094,0.365200438,0.920132333,0.9102767,1.274758225,1.264213282,0.384858687,0.419174701,0.873725988,1.236654514,0.358109806,0.366558456,0.86162256,0.864790348,1.200106171,1.185688291
285,0.346198063,0.345741016,0.94478854,0.866771907,1.244994315,1.287097589,0.361447845,0.356687039,0.911708568,0.923919068,1.317190935,1.316172858,0.349371705,0.350604197,0.899640607,0.919844359,1.297475664,1.318179605,0.350413628,0.35116151,0.89324097,0.8979973,1.28229259,1.304403967,0.382308611,0.398850532,0.912564663,0.886871824,1.289921248,1.313067552,0.350139707,0.893277941,0.883812859,1.24970666,1.240926418,0.368984514,0.403806395,0.848849113,1.211738339,0.342676718,0.35157328,0.835987622,0.838534307,1.176267978,1.16194846
286,0.331573501,0.331284404,0.918015382,0.841316569,1.221908374,1.26333589,0.346548954,0.342099369,0.885831736,0.897601672,1.294011526,1.293167876,0.334744928,0.335989627,0.873938538,0.893893058,1.274459579,1.294701276,0.335737547,0.336643932,0.867630829,0.872074431,1.259018946,1.281295261,0.366995577,0.383251112,0.886612684,0.861099611,1.266677822,1.289681836,0.335529187,0.867873994,0.858241035,1.226294059,1.217909814,0.353506171,0.388377288,0.823828172,1.187678251,0.32770928,0.336865316,0.810571933,0.81278125,1.15220452,1.136617867
287,0.317681713,0.317401254,0.892328399,0.8170122,1.200354805,1.240670632,0.332302346,0.328032479,0.860967179,0.872318137,1.272012038,1.271415538,0.320645629,0.322039981,0.84921089,0.868938822,1.253078548,1.273320552,0.321567531,0.322709248,0.842757084,0.847043351,1.237361436,1.259904747,0.352216439,0.36824168,0.861521236,0.836269592,1.245120862,1.26763653,0.321499233,0.843711915,0.833671701,1.204666746,1.195787212,0.338628304,0.373357023,0.799239988,1.165157919,0.313403165,0.322714559,0.785800262,0.7879932,1.128927789,1.111409851
288,0.304375517,0.304276552,0.867698015,0.793435589,1.180299242,1.219477625,0.318671445,0.314607922,0.837081564,0.847895508,1.251270451,1.250594794,0.307314651,0.30885732,0.825684787,0.844893216,1.23284869,1.253133523,0.308144886,0.30948301,0.818942546,0.823134317,1.216421184,1.239262328,0.3382382,0.354084509,0.837661943,0.812825699,1.224521843,1.246962205,0.308227922,0.820122429,0.810045407,1.184362346,1.175485058,0.324585248,0.359471105,0.776012879,1.144530006,0.29993677,0.309455167,0.76218495,0.764528295,1.10775869,1.089094124
289,0.291566187,0.291782866,0.843822377,0.770430158,1.161128511,1.199384217,0.305589013,0.301781511,0.813959002,0.82413118,1.231419369,1.230399282,0.294650773,0.296294703,0.803099046,0.821575313,1.213247435,1.23349756,0.295434012,0.29689524,0.796151155,0.800193754,1.196075145,1.219111526,0.324985545,0.340631406,0.814782755,0.790470948,1.204482362,1.227228899,0.295660551,0.796950432,0.787237484,1.164651718,1.156480044,0.311373015,0.346612056,0.754147363,1.125338334,0.287233287,0.297028602,0.739722466,0.742215008,1.088351273,1.069332159
290,0.279214651,0.27961413,0.820265821,0.748027055,1.141913397,1.179588746,0.292976051,0.289412188,0.791295354,0.800832314,1.211846893,1.210566137,0.282352853,0.284064048,0.780910087,0.798769035,1.193772557,1.213982594,0.283231253,0.284762624,0.774131225,0.777842158,1.176699196,1.199669073,0.312175801,0.327492752,0.792265974,0.768468161,1.184847995,1.207762932,0.283600228,0.774382319,0.765096621,1.144699681,1.13738641,0.298837493,0.334158224,0.733066964,1.106635241,0.275058499,0.285131038,0.718089656,0.720557448,1.06933066,1.049851459
291,0.267424304,0.267820429,0.797318905,0.72653124,1.122837808,1.160280049,0.280898729,0.277544068,0.769327776,0.778321253,1.192783665,1.191436755,0.270437845,0.272219298,0.759213447,0.776677686,1.174834046,1.194973632,0.271522761,0.273088663,0.752896603,0.756122066,1.15853951,1.181309064,0.299784823,0.314705529,0.770239395,0.746857254,1.166017684,1.188906015,0.272002431,0.75269873,0.74375863,1.125040073,1.118310615,0.286968846,0.322014352,0.712625889,1.088141487,0.263428808,0.273730155,0.69727552,0.699462304,1.050356203,1.029989132
292,0.256433605,0.256792285,0.775952412,0.706490964,1.105128727,1.142573426,0.269557756,0.266394708,0.748798165,0.757397539,1.175240778,1.173908517,0.259225398,0.261137398,0.738705743,0.755895839,1.157683275,1.177604427,0.260476516,0.262056129,0.732711722,0.735474075,1.14169971,1.16453699,0.288037575,0.30270856,0.749533042,0.726413897,1.14889195,1.171942529,0.260973543,0.732260939,0.723622317,1.107472816,1.100765235,0.275892362,0.310584762,0.693098739,1.070214461,0.252592849,0.263049183,0.677563045,0.679217634,1.032075088,1.010629915
293,0.246287201,0.246665864,0.756347171,0.687884306,1.088962665,1.126460466,0.259025715,0.25602613,0.729772706,0.738145456,1.159170469,1.15790147,0.248848351,0.250925755,0.719561526,0.736536552,1.142282355,1.161877697,0.250156162,0.251757253,0.713632299,0.716053265,1.125831393,1.149034052,0.27706873,0.291653403,0.730375665,0.707380513,1.133347158,1.156783168,0.250612626,0.713099118,0.704712954,1.092113146,1.085031908,0.265558225,0.299960516,0.674579117,1.05300246,0.242583776,0.253096892,0.658952875,0.659941931,1.014726032,0.992242302
294,0.236753716,0.237202646,0.73754526,0.669876633,1.072991371,1.110309414,0.249189218,0.246273555,0.711351937,0.719629761,1.143003688,1.141941164,0.239161489,0.241301721,0.701195941,0.718020612,1.126747289,1.146175344,0.240471486,0.24214658,0.695405045,0.697590487,1.109958514,1.133328474,0.266872304,0.281263844,0.712114037,0.689208356,1.117797678,1.141362612,0.241001773,0.694770855,0.686513254,1.076648713,1.069592095,0.255670146,0.289768233,0.656887808,1.036324537,0.233120775,0.243566536,0.641035784,0.641494991,0.997919388,0.974627267
295,0.22768039,0.228205491,0.71900013,0.652079575,1.056556184,1.093301212,0.239935196,0.237018051,0.693111488,0.701327831,1.126001937,1.12526992,0.230050345,0.232106695,0.683301533,0.700002701,1.110137221,1.129609067,0.231350229,0.233155976,0.677885505,0.679890719,1.093659987,1.116716798,0.257367009,0.271341443,0.694348937,0.671586618,1.101389686,1.124603382,0.232124884,0.67703977,0.668779103,1.059815243,1.053555415,0.246139217,0.279854996,0.639967898,1.020133215,0.224082828,0.234352251,0.623667764,0.623877534,0.981546913,0.957628266
296,0.219121057,0.219619973,0.701201433,0.635154995,1.040673976,1.076565775,0.231179252,0.228263567,0.675774277,0.68374273,1.109396962,1.108838846,0.221503685,0.223502818,0.666271959,0.682725926,1.09376951,1.113063579,0.222781017,0.224687868,0.661194737,0.662968328,1.077763325,1.100277462,0.24833016,0.261912198,0.677340839,0.654818557,1.085016221,1.107790449,0.223759479,0.660161918,0.651911647,1.042910332,1.037625076,0.237355166,0.270602007,0.624063719,1.004717062,0.215735398,0.225815139,0.60732544,0.60742924,0.966185146,0.941287656
