[HEADER]
Format	J&M ASCII Table
Comment	
Date	2/12/1980 5:27:22 AM
Order	Y (evenX)
TechType	UV
NumPoints	483
FirstX	250.00
LastX	732.00
XType	NMetr
YType	Count
[DATA]
250.000000	294.317322
251.000000	296.241608
252.000000	296.391815
253.000000	294.897369
254.000000	292.284668
255.000000	290.125031
256.000000	289.834778
257.000000	290.744354
258.000000	291.578400
259.000000	291.957184
260.000000	291.998718
261.000000	292.328217
262.000000	293.899200
263.000000	295.887329
264.000000	295.460114
265.000000	292.184753
266.000000	289.876587
267.000000	290.770386
268.000000	292.000458
269.000000	290.947662
270.000000	289.166260
271.000000	288.785400
272.000000	289.062439
273.000000	288.362152
274.000000	287.201477
275.000000	287.251678
276.000000	288.427490
277.000000	289.134064
278.000000	288.438202
279.000000	286.318207
280.000000	283.491119
281.000000	281.959442
282.000000	282.794800
283.000000	283.982819
284.000000	283.557281
285.000000	282.228363
286.000000	281.300293
287.000000	281.000702
288.000000	281.081299
289.000000	281.134216
290.000000	280.672852
291.000000	279.687927
292.000000	278.626007
293.000000	277.953735
294.000000	278.137573
295.000000	279.166992
296.000000	280.034973
297.000000	279.932312
298.000000	279.078522
299.000000	277.927338
300.000000	277.080750
301.000000	277.039948
302.000000	277.154602
303.000000	276.354095
304.000000	275.189362
305.000000	275.283020
306.000000	276.511810
307.000000	276.943542
308.000000	275.922607
309.000000	274.867584
310.000000	274.901642
311.000000	276.076752
312.000000	277.969147
313.000000	279.012604
314.000000	277.914520
315.000000	276.221497
316.000000	276.152893
317.000000	277.448639
318.000000	278.635345
319.000000	279.074310
320.000000	278.772278
321.000000	277.857513
322.000000	276.578613
323.000000	275.383057
324.000000	275.032410
325.000000	275.692505
326.000000	275.992340
327.000000	274.961182
328.000000	274.013947
329.000000	274.747772
330.000000	276.524750
331.000000	277.960022
332.000000	278.290833
333.000000	277.191925
334.000000	275.890228
335.000000	276.773529
336.000000	279.334381
337.000000	279.630493
338.000000	276.683624
339.000000	275.032806
340.000000	277.354980
341.000000	279.997467
342.000000	279.602020
343.000000	278.113495
344.000000	278.228088
345.000000	278.993958
346.000000	278.302551
347.000000	276.587219
348.000000	275.666046
349.000000	275.822021
350.000000	276.043304
351.000000	276.240143
352.000000	277.508545
353.000000	279.625366
354.000000	279.814606
355.000000	276.775238
356.000000	274.021179
357.000000	274.774323
358.000000	277.542877
359.000000	279.789093
360.000000	280.298767
361.000000	278.563232
362.000000	275.882843
363.000000	274.571686
364.000000	275.516388
365.000000	278.311096
366.000000	281.901642
367.000000	284.460754
368.000000	284.930725
369.000000	283.815704
370.000000	282.006744
371.000000	281.000977
372.000000	281.821747
373.000000	282.939880
374.000000	282.506073
375.000000	281.267090
376.000000	280.945740
377.000000	282.060455
378.000000	284.331573
379.000000	286.547729
380.000000	286.706757
381.000000	284.639587
382.000000	282.637787
383.000000	282.232605
384.000000	283.142761
385.000000	284.737427
386.000000	285.974609
387.000000	286.005615
388.000000	285.186432
389.000000	284.218689
390.000000	283.856934
391.000000	284.737732
392.000000	285.906921
393.000000	285.510284
394.000000	283.783142
395.000000	282.865845
396.000000	283.431122
397.000000	284.090668
398.000000	284.058289
399.000000	284.020355
400.000000	284.358948
401.000000	284.046112
402.000000	282.344421
403.000000	281.010132
404.000000	282.005035
405.000000	283.771179
406.000000	283.523865
