wvln_2,SPA_ag,SPB_ag,SPC_ag,SPD_ag,SPE_ag,SPF_ag,SPH_ag,SPI_ag,SPJ_ag,srfa_ag,,out,in
250,1.002319035,0.987472614,0.980646435,1.112895186,1.114200783,1.004657731,1.457959641,1.383523614,1.32287406,1.112291316,,0.990146028,1.388119105
251,0.979586475,0.965221415,0.958736333,1.089000553,1.091522878,0.981340759,1.44486528,1.370056518,1.308255686,1.102524613,,0.967848074,1.374392495
252,0.957408509,0.943552972,0.937623342,1.065322298,1.068894982,0.958115164,1.432070386,1.356794487,1.294244071,1.093095892,,0.946194941,1.361036315
253,0.935881011,0.92253996,0.917208102,1.042087689,1.046549021,0.93531413,1.419506334,1.344194394,1.280698706,1.084024642,,0.925209691,1.348133145
254,0.915066063,0.902222322,0.897381848,1.01953749,1.024788135,0.913321436,1.407398541,1.332748411,1.267571149,1.075517054,,0.904890078,1.335906034
255,0.894957697,0.8825932,0.878166379,0.997906642,1.004074942,0.892581713,1.39707048,1.322926206,1.255286661,1.068437438,,0.885239092,1.325094449
256,0.875491889,0.863594953,0.859567899,0.977318299,0.984745108,0.873378248,1.38965428,1.314972137,1.244290708,1.063470855,,0.866218247,1.316305709
257,0.856361044,0.844962594,0.841364749,0.957278969,0.966237991,0.855034689,1.383941039,1.307933229,1.234580674,1.059555631,,0.847562796,1.308818314
258,0.837223355,0.826405406,0.82329487,0.937187055,0.947771176,0.83665005,1.378134416,1.300657276,1.22600012,1.05521636,,0.828974544,1.301597271
259,0.818125115,0.808015741,0.805402187,0.917307619,0.929242542,0.818182151,1.37226606,1.293805396,1.218370643,1.050606086,,0.810514348,1.294814033
260,0.79930528,0.790065172,0.787880023,0.898301939,0.910903926,0.800020258,1.367281618,1.288873874,1.211496393,1.046685654,,0.792416825,1.289217295
261,0.780799853,0.772518351,0.77073551,0.880061771,0.892951945,0.782302508,1.363624501,1.285761812,1.205082531,1.043747255,,0.774684571,1.284822948
262,0.762485504,0.755100138,0.753825295,0.861886926,0.875519096,0.764964714,1.361300507,1.283129317,1.198752024,1.041559913,,0.757136979,1.281060616
263,0.744089727,0.737462919,0.736784039,0.84325551,0.858156576,0.747707663,1.359028217,1.279609233,1.191932267,1.039321014,,0.739445561,1.276856572
264,0.725178035,0.719189923,0.719003951,0.823869706,0.839762513,0.729973293,1.354093013,1.273851445,1.183836937,1.035598774,,0.72112397,1.270593798
265,0.705663407,0.70023949,0.700380993,0.803734161,0.819994998,0.711578502,1.345649329,1.265669115,1.174303726,1.03000812,,0.70209463,1.261874057
266,0.686064327,0.681208063,0.681686408,0.783343852,0.799863361,0.692997117,1.33614606,1.256845292,1.164248979,1.023975543,,0.682986266,1.252413444
267,0.66668023,0.662454144,0.663365805,0.762976386,0.780011581,0.674494134,1.327216937,1.248351595,1.154038435,1.018385171,,0.664166727,1.243202322
268,0.64710756,0.643568736,0.644821154,0.742230807,0.759822444,0.655639082,1.317585643,1.238601641,1.142359828,1.012288701,,0.645165817,1.232849037
269,0.62697087,0.624136176,0.625472464,0.720735478,0.738679085,0.636062231,1.305760409,1.226088209,1.128089377,1.004721854,,0.625526503,1.219979332
270,0.606441681,0.604193976,0.60546539,0.698657487,0.716749244,0.616076863,1.291205637,1.211219496,1.111892409,0.995806029,,0.605367016,1.204772514
